Epoch,Loss
1,263.4434031575521
2,192.054262109375
3,185.7265965169271
4,174.42501686197917
5,167.45212229817707
6,163.69725673828125
7,160.89677483723958
8,158.63531116536458
9,156.96453831380208
10,155.55122154947918
11,154.551716796875
12,153.63278751627604
13,152.81380983072916
14,151.953840625
15,151.27534000651042
16,150.6805584798177
17,150.09377273763022
18,149.5028502766927
19,148.96881930338543
20,148.5461509765625
21,147.99406559244792
22,147.6332080403646
23,147.15849194335937
24,146.80280625
25,146.4589755859375
26,146.10223035481772
27,145.76169099934896
28,145.4108521158854
29,145.13470198567708
30,144.79818842773437
31,144.51929611002603
32,144.25393229166667
33,144.0133607096354
34,143.81362708333333
35,143.57480319010418
36,143.31679848632814
37,143.17470807291667
38,142.94971673177082
39,142.70396888020832
40,142.4611675292969
41,142.3642030436198
42,142.14697080078125
43,141.86515548502604
44,141.68179799804687
45,141.60700470377603
46,141.46792744140626
47,141.29927350260417
48,141.09459643554686
49,140.94663614908853
50,140.79636341145834
51,140.63504399414063
52,140.4881067545573
53,140.465087890625
54,140.2521251464844
55,140.14932255859375
56,140.0848583984375
57,139.99420024414061
58,139.8056908528646
59,139.72479352213543
60,139.54892283528645
61,139.42951920572918
62,139.33721842447918
63,139.28174622395832
64,139.17522677408854
65,139.04402864583332
66,138.98029907226564
67,138.90759611002605
68,138.8087327311198
69,138.70642239583333
70,138.688665625
71,138.51201455078126
72,138.50093190104167
73,138.3892711751302
74,138.22193819986978
75,138.1548931640625
76,138.1160298014323
77,138.1262969889323
78,138.090819140625
79,137.85312373046875
80,137.817466015625
81,137.9290166015625
82,137.81399887695312
83,137.68774825846353
84,137.5756000813802
85,137.57859889322916
86,137.48305686848957
87,137.36098025716146
88,137.38430909830728
89,137.27858120117187
90,137.14702133789064
91,137.18779532877605
92,137.04309840494793
93,137.07130913085936
94,137.03321178385417
95,137.07830756835938
96,136.8604026529948
97,136.7633859049479
98,136.71486188151042
99,136.7630282389323
