Epoch,Loss
1,286.61615208333336
2,215.48943111979167
3,192.89732623697915
4,171.36774742838543
5,154.09465224609374
6,144.5718602701823
7,137.3114291015625
8,132.2233819173177
9,128.43954881184897
10,124.37672613932291
11,121.12717333984375
12,118.9537186360677
13,117.16802000325521
14,115.73194651692708
15,114.47372763671875
16,113.34930392252605
17,112.40006168619792
18,111.532908984375
19,110.72301490885417
20,110.06759995117187
21,109.45924291992188
22,108.9294923828125
23,108.34868629557292
24,107.901308984375
25,107.59475017903645
26,107.17270844726562
27,106.81502094726562
28,106.46234254557292
29,106.14254052734375
30,105.88677641601562
31,105.61995343424479
32,105.28628684895833
33,104.98757194010416
34,104.58656692708334
35,104.21724977213542
36,103.77764069010416
37,103.35817945963542
38,103.07350921223959
39,102.80985455729167
40,102.5195826985677
41,102.31669874674479
42,101.99537418619792
43,101.76571666666666
44,101.55127067057292
45,101.29491826171875
46,101.11473580729167
47,100.81488356119792
48,100.57797742513021
49,100.34449275716146
50,100.15520055338541
51,99.98196635742187
52,99.79524182942708
53,99.59387701822916
54,99.4821697265625
55,99.33639246419271
56,99.26402856445313
57,99.10478333333333
58,98.96889983723959
59,98.80403479817709
60,98.75851324869792
61,98.65245231119792
62,98.56089318033854
63,98.46119501953125
64,98.28399459635416
65,98.25827513020833
66,98.18542805989583
67,98.10554602864583
68,97.96371430664063
69,97.94900240885417
70,97.81726715494791
71,97.74208876953125
72,97.71779046223958
73,97.63451647135416
74,97.51017815755209
75,97.42520528971355
76,97.42684900716147
77,97.3147916015625
78,97.29241920572916
79,97.11818891601563
80,97.13023844401042
81,97.04554829101562
82,97.01424099934896
83,96.9294943359375
84,96.92284658203126
85,96.84799903971354
86,96.74907589518229
87,96.70658863932292
88,96.70337906901041
89,96.61579990234375
90,96.56871547851563
91,96.53588880208333
92,96.42701201171874
93,96.47115107421875
94,96.39118875325521
95,96.31331687825521
96,96.23556337890625
97,96.19712631835938
98,96.21895670572917
99,96.10233489583334
100,96.09926502278645
101,96.08093041992187
102,96.02097506510417
103,95.97456412760417
104,95.89928391927083
105,95.87750473632812
106,95.81710307617188
107,95.8038564453125
108,95.7140537109375
109,95.76336629231771
110,95.72591259765625
111,95.67071497395834
112,95.5830167154948
113,95.54478312174479
114,95.58785472005208
115,95.48591967773437
116,95.44546090494792
117,95.4409328125
118,95.42290493164063
119,95.38476126302083
120,95.31011674804688
121,95.30382571614584
122,95.26344368489583
123,95.22195704752605
124,95.19870641276042
125,95.21969399414063
126,95.12404858398438
127,95.11712856445313
128,95.09690485026042
129,95.05786056315104
130,95.03471204427083
131,94.99935218098959
132,94.94598157552083
133,94.97432356770834
134,94.88154632161458
135,94.87702125651042
136,94.89460418294271
137,94.82079166666666
138,94.77536958007812
139,94.75280325520833
140,94.73126409505208
141,94.70971323242188
142,94.68339231770834
143,94.63319583333333
144,94.60862021484375
145,94.58122338867187
146,94.55677335611979
147,94.57300642903645
148,94.5458149251302
149,94.52341936848958
150,94.48976997070312
151,94.40219972330729
152,94.40589332682292
153,94.4036340983073
154,94.39475989583333
155,94.37160559895834
156,94.31717421875
157,94.24978930664062
158,94.26792436523438
159,94.3412161295573
160,94.22210224609375
161,94.23438572591145
162,94.16883004557292
163,94.21541206054688
164,94.16104038085938
165,94.13067646484375
166,94.12903802083333
167,94.07623676757812
168,94.07863193359375
169,93.97690307617188
170,94.00272985026042
171,94.02118460286458
172,93.97255169270834
173,93.95511088867187
174,93.91010891927084
175,93.98940177408853
176,93.85080888671875
177,93.88194467773438
178,93.82119837239583
179,93.86542462565104
180,93.83255348307291
181,93.80870530598958
182,93.81809820963542
183,93.76908121744792
184,93.76391354166667
185,93.68681949869791
186,93.66218074544271
187,93.72760602213542
188,93.65089853515624
189,93.65662794596354
190,93.60244479166667
191,93.62479809570313
192,93.56761603190104
193,93.54840815429688
194,93.5170240234375
195,93.51335428059896
196,93.48340709635417
197,93.5362275390625
198,93.47527200520834
199,93.53101941731771
200,93.44124039713542
201,93.40740050455729
202,93.40951998697916
203,93.38370377604167
204,93.38353434244792
205,93.36073317057291
206,93.33357228190104
207,93.3364807779948
208,93.27750496419272
209,93.32264694010416
210,93.2910174641927
211,93.2815814453125
212,93.22660927734375
213,93.21745322265625
214,93.21608102213541
215,93.23866350911459
216,93.1485682454427
217,93.18562249348959
218,93.16122073567708
219,93.1517848795573
220,93.11948740234375
221,93.0791810546875
222,93.10714921875
223,93.0642637858073
224,93.05304381510416
225,93.0405069498698
226,93.06666884765625
227,93.00651362304687
228,92.97838162434896
229,92.9785228515625
230,92.93563185221355
231,92.96657220052083
232,92.94767366536459
233,92.89729360351562
234,92.97190201822917
235,92.87544733072917
236,92.88461344401041
237,92.86778767903645
238,92.81625076497396
239,92.835126171875
240,92.80557234700521
241,92.79749692382812
242,92.7853755859375
243,92.73256321614583
244,92.75611676432291
245,92.73954329427083
246,92.72450667317709
247,92.67435232747395
248,92.74042464192708
249,92.68650146484374
250,92.66259337565104
251,92.62536884765625
252,92.66683653971354
253,92.569191015625
254,92.57331235351562
255,92.53557776692708
256,92.49679951171875
257,92.45432958984375
258,92.43064378255208
259,92.29131292317709
260,92.34287265625
261,92.29366479492188
262,92.26229658203125
263,92.19272578125
264,92.12547770182292
265,92.08278269856771
266,92.09071767578125
267,91.98537021484375
268,91.9797642578125
269,91.95324799804688
270,91.90567467447917
271,91.88306928710938
272,91.85947325846354
273,91.8240423828125
274,91.8345201985677
275,91.79575502929687
276,91.79005205078126
277,91.74271954752604
278,91.66093479817708
279,91.67245751953125
280,91.61615037434896
281,91.60240227864584
282,91.56083795572917
283,91.5635346516927
284,91.51043642578125
285,91.4807275390625
286,91.45977451171875
287,91.44643243815104
288,91.39411661783855
289,91.34005764973958
290,91.35608033854167
291,91.31391848958333
292,91.32931985677084
293,91.28811611328125
294,91.23101834309895
295,91.21315286458334
296,91.20067345377605
297,91.13652047526041
298,91.12565110677083
299,91.09926092122396
