Epoch,Loss
1,260.03416878255206
2,204.16337516276042
3,178.186184765625
4,156.07068982747396
5,143.4463036295573
6,135.27084557291667
7,129.90177228190103
8,126.35037307942709
9,123.7572880859375
10,121.73301891276041
11,120.15009138997395
12,118.85835501302083
13,117.80889181315104
14,116.88937978515625
15,116.07892569986979
16,115.39505260416666
17,114.7106736328125
18,114.12512036132813
19,113.56140234375
20,113.03476831054688
21,112.57197247721354
22,112.19677612304687
23,111.81024435221354
24,111.45391538085937
25,111.02686722005208
26,110.66147897135417
27,110.44060569661458
28,110.02320211588541
29,109.7620104329427
30,109.49895099283854
31,109.28944469401041
32,108.93944881184896
33,108.70632400716146
34,108.52232867838542
35,108.29245467122396
36,108.05694614257813
37,107.83131157226562
38,107.64175209960938
39,107.46529152018229
40,107.31008072916667
41,107.17822843424479
42,107.01828323567709
43,106.83306761067708
44,106.763890625
45,106.57997376302083
46,106.53097078450521
47,106.32399466145833
48,106.2621083170573
49,106.1421428548177
50,105.96157174479167
51,105.888085546875
52,105.71742005208333
53,105.6475264485677
54,105.57968461914062
55,105.49287983398438
56,105.41169970703125
57,105.31964508463541
58,105.27143833007813
59,105.10382685546875
60,105.09532255859375
61,104.9635587076823
62,104.89192788085937
63,104.84465369466146
64,104.788918359375
65,104.69933059895833
66,104.58903590494792
67,104.54584840494792
68,104.48223779296875
69,104.42932294921874
70,104.3794185546875
71,104.35421284179688
72,104.22414816080729
73,104.17898277994792
74,104.10018650716145
75,104.05735952148437
76,104.00748022460938
77,103.96343779296875
78,103.91490712890625
79,103.85746381835938
80,103.76709905598959
81,103.73376717122396
82,103.66242360026041
83,103.62600654296875
84,103.6075076985677
85,103.54990511067709
86,103.4898846516927
87,103.46532358398437
88,103.40035458984374
89,103.36278028971354
90,103.30110016276042
91,103.30557216796875
92,103.226144921875
93,103.182841796875
94,103.16047361653646
95,103.10056705729167
96,103.0719591796875
97,103.04346905924479
98,102.96412127278646
99,102.92035419921875
100,102.91082174479166
101,102.87469025065104
102,102.86544119466146
103,102.83687122395834
104,102.76419819335938
105,102.73860099283854
106,102.66345328776042
107,102.61540320638021
108,102.64408004557292
109,102.58812381184896
110,102.49225258789062
111,102.51554619140624
112,102.47911728515625
113,102.42787965494792
114,102.4415217610677
115,102.42185805664063
116,102.35550068359375
117,102.33956630859375
118,102.31124897460937
119,102.27051440429688
120,102.24068317057292
121,102.25406489257813
122,102.16176941731771
123,102.11341461588542
124,102.14757117513021
125,102.07783561197917
126,102.08963216145834
127,102.02584663085938
128,101.97082270507812
129,101.962662109375
130,101.92799724934896
131,101.93906389973958
132,101.85756184895833
133,101.84078924153646
134,101.88373678385416
135,101.84339148763021
136,101.85987556966145
137,101.76627014973958
138,101.73335525716146
139,101.70639361979167
140,101.69405152994791
141,101.64589554036458
142,101.6744731608073
143,101.63117115885417
144,101.57204348958334
145,101.61721788736979
146,101.51816722005208
147,101.54537054036459
148,101.47633987630208
149,101.52022537434895
